ablation,compressor,dataset,sr_percent,cbr_percent,clean_acc_k576,attack_acc_k576,practical_budget,cbr_denominator,cbr_numerator,num_seeds,source_file
attn_only,VisionZIP,TextVQA_Open,45.25186425201643,42.297650130548305,0.91994,0.41628999999999994,64,383,162,1,fata_ablation_attn_only_VisionZIP_TextVQA_Open.csv
attn_only,VisionZIP,ScienceQA_MC,62.28813559322034,27.03180212014134,0.944,0.588,32,566,153,1,fata_ablation_attn_only_VisionZIP_ScienceQA_MC.csv
attn_only,VisionZIP,VQAv2_Open,74.38623535012354,24.598930481283425,0.88226,0.65628,64,561,138,1,fata_ablation_attn_only_VisionZIP_VQAv2_Open.csv
attn_only,VisionZIP,VQAv2_MC,85.20408163265306,35.42926239419589,0.98,0.835,32,827,293,1,fata_ablation_attn_only_VisionZIP_VQAv2_MC.csv
attn_only,VisPruner,TextVQA_Open,44.38441637498097,30.666666666666664,0.91994,0.40830999999999995,64,375,115,1,fata_ablation_attn_only_VisPruner_TextVQA_Open.csv
attn_only,VisPruner,ScienceQA_MC,61.75847457627118,23.581560283687946,0.944,0.583,32,564,133,1,fata_ablation_attn_only_VisPruner_ScienceQA_MC.csv
attn_only,VisPruner,VQAv2_Open,75.55369165552104,17.894736842105264,0.88226,0.66658,64,570,102,1,fata_ablation_attn_only_VisPruner_VQAv2_Open.csv
attn_only,VisPruner,VQAv2_MC,84.6938775510204,30.77858880778589,0.98,0.83,32,822,253,1,fata_ablation_attn_only_VisPruner_VQAv2_MC.csv
attn_only,PruMerge,TextVQA_Open,42.6093006065613,54.46927374301676,0.91994,0.39198,64,358,195,1,fata_ablation_attn_only_PruMerge_TextVQA_Open.csv
attn_only,PruMerge,ScienceQA_MC,63.13559322033898,32.52595155709342,0.944,0.596,32,578,188,1,fata_ablation_attn_only_PruMerge_ScienceQA_MC.csv
attn_only,PruMerge,VQAv2_Open,74.98809874640128,33.27433628318584,0.88226,0.6615899999999999,64,565,188,1,fata_ablation_attn_only_PruMerge_VQAv2_Open.csv
attn_only,PruMerge,VQAv2_MC,86.0204081632653,38.59020310633214,0.98,0.843,32,837,323,1,fata_ablation_attn_only_PruMerge_VQAv2_MC.csv
attn_only,FlowCut,TextVQA_Open,44.67356566732612,45.23809523809524,0.91994,0.41096999999999995,64,378,171,1,fata_ablation_attn_only_FlowCut_TextVQA_Open.csv
attn_only,FlowCut,ScienceQA_MC,61.440677966101696,28.749999999999996,0.944,0.58,32,560,161,1,fata_ablation_attn_only_FlowCut_ScienceQA_MC.csv
attn_only,FlowCut,VQAv2_Open,73.59055153809534,32.21830985915493,0.88226,0.64926,64,568,183,1,fata_ablation_attn_only_FlowCut_VQAv2_Open.csv
attn_only,FlowCut,VQAv2_MC,86.53061224489795,28.38479809976247,0.98,0.848,64,842,239,1,fata_ablation_attn_only_FlowCut_VQAv2_MC.csv
sem_only,VisionZIP,TextVQA_Open,98.87818770789399,12.056737588652481,0.91994,0.9096199999999999,64,846,102,1,fata_ablation_sem_only_VisionZIP_TextVQA_Open.csv
sem_only,VisionZIP,ScienceQA_MC,97.88135593220339,15.91160220994475,0.944,0.924,32,905,144,1,fata_ablation_sem_only_VisionZIP_ScienceQA_MC.csv
sem_only,VisionZIP,VQAv2_Open,98.60131933897037,8.419689119170984,0.88226,0.86992,64,772,65,1,fata_ablation_sem_only_VisionZIP_VQAv2_Open.csv
sem_only,VisionZIP,VQAv2_MC,99.79591836734694,17.181069958847736,0.98,0.978,32,972,167,1,fata_ablation_sem_only_VisionZIP_VQAv2_MC.csv
sem_only,VisPruner,TextVQA_Open,97.86181707502664,10.381861575178998,0.91994,0.90027,64,838,87,1,fata_ablation_sem_only_VisPruner_TextVQA_Open.csv
sem_only,VisPruner,ScienceQA_MC,98.41101694915255,18.530701754385966,0.944,0.929,32,912,169,1,fata_ablation_sem_only_VisPruner_ScienceQA_MC.csv
sem_only,VisPruner,VQAv2_Open,98.33609140162763,8.031088082901555,0.88226,0.8675799999999999,64,772,62,1,fata_ablation_sem_only_VisPruner_VQAv2_Open.csv
sem_only,VisPruner,VQAv2_MC,99.18367346938776,15.392561983471072,0.98,0.972,32,968,149,1,fata_ablation_sem_only_VisPruner_VQAv2_MC.csv
sem_only,PruMerge,TextVQA_Open,98.15422744961629,14.353499406880191,0.91994,0.90296,64,843,121,1,fata_ablation_sem_only_PruMerge_TextVQA_Open.csv
sem_only,PruMerge,ScienceQA_MC,97.35169491525426,19.579646017699115,0.944,0.919,32,904,177,1,fata_ablation_sem_only_PruMerge_ScienceQA_MC.csv
sem_only,PruMerge,VQAv2_Open,98.98102600140547,11.139896373056994,0.88226,0.87327,64,772,86,1,fata_ablation_sem_only_PruMerge_VQAv2_Open.csv
sem_only,PruMerge,VQAv2_MC,99.79591836734694,17.131062951496386,0.98,0.978,32,969,166,1,fata_ablation_sem_only_PruMerge_VQAv2_MC.csv
sem_only,FlowCut,TextVQA_Open,97.86290410244146,16.646848989298455,0.91994,0.90028,64,841,140,1,fata_ablation_sem_only_FlowCut_TextVQA_Open.csv
sem_only,FlowCut,ScienceQA_MC,97.88135593220339,19.337016574585636,0.944,0.924,32,905,175,1,fata_ablation_sem_only_FlowCut_ScienceQA_MC.csv
sem_only,FlowCut,VQAv2_Open,98.41429963956203,15.454545454545453,0.88226,0.86827,64,770,119,1,fata_ablation_sem_only_FlowCut_VQAv2_Open.csv
sem_only,FlowCut,VQAv2_MC,99.18367346938776,12.124352331606218,0.98,0.972,64,965,117,1,fata_ablation_sem_only_FlowCut_VQAv2_MC.csv
full,VisionZIP,TextVQA_Open,93.2604300280453,16.917293233082706,0.91994,0.8579399999999999,64,798,135,1,fata_ablation_full_VisionZIP_TextVQA_Open.csv
