attack,K,negative_set,detector,AUROC,AUPR,TPR@5FPR
FATA,576,Clean,MaxFS,0.5929,0.5783,0.0000
FATA,64,Clean,MaxFS,0.5890,0.5553,0.0000
Base,576,Clean,MaxFS,0.7485,0.7270,0.0000
Base,64,Clean,MaxFS,0.7671,0.7149,0.0000
FATA,576,Clean,BestSingle_median3_score_diff,0.6066,0.6026,0.2450
FATA,64,Clean,BestSingle_jpeg50_score_diff,0.5657,0.5516,0.1550
Base,576,Clean,BestSingle_bit4_score_diff,0.7119,0.6993,0.4200
Base,64,Clean,BestSingle_jpeg50_score_diff,0.7774,0.7564,0.5450
FATA,576,Clean+Random,MaxFS,0.5923,0.4207,0.0000
FATA,64,Clean+Random,MaxFS,0.5918,0.3909,0.0000
Base,576,Clean+Random,MaxFS,0.7486,0.6088,0.0000
Base,64,Clean+Random,MaxFS,0.7704,0.5775,0.0000
