method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,vis_l06,layer,1000,500,-0.003732591339328792,3.233244236946106,0.9982719999999999,0.9967504609557716,0.994
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,vis_l12,layer,1000,500,0.02001678276329767,4.486126590974629,0.995016,0.9909591876108521,0.99
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,vis_l18,layer,1000,500,0.003010774973779917,1.957409671470523,0.9058339999999999,0.8168465995010287,0.504
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,vis_l24,layer,1000,500,-0.01513033684680704,3.7347524046599867,0.979944,0.9681093084091184,0.906
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,proj_in,layer,1000,500,-0.1477965724708047,2.5371065149381757,0.912002,0.866929621773139,0.636
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,proj_out,layer,1000,500,-0.12439623599487823,0.8170189303308726,0.7304180000000001,0.611009113268532,0.254
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_image_l08,layer,1000,500,-0.1279955350602977,0.738385162651015,0.721608,0.5899141844563622,0.232
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_image_l16,layer,1000,500,-0.13610630120988934,0.6684361461735098,0.720178,0.5966758010492689,0.244
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_image_l24,layer,1000,500,-0.13246128410077654,0.7314894613207289,0.7432920000000001,0.6634098380887499,0.358
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_image_l32,layer,1000,500,-0.15903351110313088,0.8543913740359712,0.76001,0.6523527442627238,0.354
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,visual_trajectory,stage,1000,500,0.007487558017921629,5.467226388403708,0.9987180000000001,0.9973436053413159,0.998
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,projector_trajectory,stage,1000,500,-0.1412074344807885,1.7400438483032301,0.84952,0.7753954363056219,0.464
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_trajectory,stage,1000,500,-0.14210328612627718,0.7573815686710871,0.7421,0.6558944580575747,0.342
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,all_level_fused,fused,1000,500,-0.09194105419638136,2.654883935126008,0.984172,0.9715515823802339,0.902
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,vis_l06,layer,1000,500,-0.003732591339328792,3.4100588204860687,0.99894,0.9980940546379922,0.994
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,vis_l12,layer,1000,500,0.02001678276329767,6.025264906585217,0.99873,0.9981409396183454,0.998
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,vis_l18,layer,1000,500,0.003010774973779917,2.673230935961008,0.954198,0.9087876279918886,0.652
