,,,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack
,,,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,train_attack,test_attack,detector,,,,,,,,,,,,,,,,,,,,,,,,
base_sanity,base,base,all_level_fused,0.9903809000000001,0.012513429778904706,0.99567,0.952668,0.999606,20,0.9821682330625403,0.02180770761907247,0.9913633121341419,0.9214814333292093,0.99922248395362,20,0.9606,0.056419854661280355,0.982,0.768,1.0,20,500.0,0.0,500.0,500,500,20
base_sanity,base,base,llm_trajectory,0.8766429,0.08439741803851837,0.913616,0.679348,0.97669,20,0.8059005051701845,0.11122937770527856,0.8449320960511055,0.6314839450440483,0.9608621073951741,20,0.5717,0.19804547590469163,0.639,0.164,0.888,20,500.0,0.0,500.0,500,500,20
base_sanity,base,base,projector_trajectory,0.929603,0.05019784124316192,0.9393659999999999,0.7715099999999999,0.9873320000000001,20,0.8918659142542076,0.06772078188057498,0.9045019965333188,0.6984074966440723,0.9787105557573627,20,0.7335,0.13807072939544238,0.748,0.416,0.944,20,500.0,0.0,500.0,500,500,20
base_sanity,base,base,visual_trajectory,0.9972055000000001,0.004129362477875287,0.999276,0.990286,0.999984,20,0.9941344692917042,0.008700181315704082,0.9985085396956288,0.9795528066882057,0.9999679910873538,20,0.9949999999999999,0.007745966692414847,0.999,0.982,1.0,20,500.0,0.0,500.0,500,500,20
caa_aware,caa,caa,all_level_fused,0.9348818496162851,0.03469232275616674,0.949792,0.8732054012747137,0.9762900000000001,20,0.9253110690919438,0.03511302609090905,0.9376984806344698,0.8610793530170789,0.967185035984801,20,0.8232943548387096,0.06835018321651283,0.822,0.7157258064516129,0.936,20,499.0,1.7770466332772779,500.0,496,500,20
caa_aware,caa,caa,llm_trajectory,0.82443693230359,0.07216263111724197,0.8253440000000001,0.702806,0.9354,20,0.739188712814303,0.12217487219431845,0.7151981737955868,0.4853018430443599,0.9116966417023411,20,0.47972983870967745,0.2016925004758639,0.44999999999999996,0.104,0.786,20,499.0,1.7770466332772779,500.0,496,500,20
caa_aware,caa,caa,projector_trajectory,0.8224001173647242,0.05841926309889113,0.8089555150884495,0.7489159999999999,0.9256260000000001,20,0.7557217659173836,0.09461111945550496,0.7375189031262925,0.5988445777412796,0.9043533261769721,20,0.48395967741935486,0.17275957169501785,0.4335403225806451,0.23790322580645162,0.77,20,499.0,1.7770466332772779,500.0,496,500,20
caa_aware,caa,caa,visual_trajectory,0.9462476563475546,0.031613372628292724,0.9529169999999999,0.8988846253902185,0.9802719999999999,20,0.9503952307061605,0.028046621431230778,0.9569880013854702,0.9083366108811093,0.9792683091725921,20,0.9041733870967741,0.0469771449928433,0.9139999999999999,0.8366935483870968,0.952,20,499.0,1.7770466332772779,500.0,496,500,20
