method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,visual_trajectory,stage,1000,500,0.007487558017921629,5.467226388403708,0.9987180000000001,0.9973436053413159,0.998
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,projector_trajectory,stage,1000,500,-0.1412074344807885,1.7400438483032301,0.84952,0.7753954363056219,0.464
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,llm_trajectory,stage,1000,500,-0.14210328612627718,0.7573815686710871,0.7421,0.6558944580575747,0.342
DivPrune,ScienceQA_MC,32,base_sanity,base,base,image,500,500,all_level_fused,fused,1000,500,-0.09194105419638136,2.654883935126008,0.984172,0.9715515823802339,0.902
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,visual_trajectory,stage,1000,500,0.007487558017921629,6.413753057607093,0.9998800000000001,0.9997581229559562,1.0
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,projector_trajectory,stage,1000,500,-0.1412074344807885,1.0405555772920851,0.75278,0.6636149559040907,0.326
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,llm_trajectory,stage,1000,500,-0.14210328612627718,0.6185493152795386,0.711726,0.569550705601622,0.19
DivPrune,ScienceQA_MC,32,cage_unseen_base_dir,base,cage,image,500,500,all_level_fused,fused,1000,500,-0.09194105419638136,2.690952650059572,0.98669,0.9754967125131391,0.91
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,visual_trajectory,stage,992,496,0.00798702759087659,3.156288553254407,0.9701360887096775,0.9371188562227721,0.8830645161290323
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,projector_trajectory,stage,992,496,-0.13984271861919764,0.40916866066939167,0.6700844660509886,0.4582772466702615,0.0907258064516129
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,llm_trajectory,stage,992,496,-0.14147142871532223,0.5586719587587412,0.7048403355879292,0.47798311168171503,0.09879032258064516
DivPrune,ScienceQA_MC,32,caa_unseen_base_dir,base,caa,image,500,496,all_level_fused,fused,992,496,-0.09110903991454776,1.3747097242275135,0.9087762584547348,0.8262389195626728,0.5806451612903226
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,visual_trajectory,stage,1000,500,0.007487558017921629,3.4110006432681748,0.9853820000000001,0.9607193864920125,0.968
DivPrune,ScienceQA_MC,32,fata_unseen_base_dir,base,fata,image,500,500,projector_trajectory,stage,1000,500,-0.1412074344807885,0.3597449700980377,0.6306019999999999,0.48081433930608847,0.156
