,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack
,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
test_attack,detector,,,,,,,,,,,,,,,,,,,,,,,,
base,all_level_fused,0.9903809000000001,0.012513429778904706,0.99567,0.952668,0.999606,20,0.9821682330625403,0.02180770761907247,0.9913633121341419,0.9214814333292093,0.99922248395362,20,0.9606,0.056419854661280355,0.982,0.768,1.0,20,500.0,0.0,500.0,500,500,20
base,llm_trajectory,0.8766429,0.08439741803851837,0.913616,0.679348,0.97669,20,0.8059005051701845,0.11122937770527856,0.8449320960511055,0.6314839450440483,0.9608621073951741,20,0.5717,0.19804547590469163,0.639,0.164,0.888,20,500.0,0.0,500.0,500,500,20
base,projector_trajectory,0.929603,0.05019784124316192,0.9393659999999999,0.7715099999999999,0.9873320000000001,20,0.8918659142542076,0.06772078188057498,0.9045019965333188,0.6984074966440723,0.9787105557573627,20,0.7335,0.13807072939544238,0.748,0.416,0.944,20,500.0,0.0,500.0,500,500,20
base,visual_trajectory,0.9972055000000001,0.004129362477875287,0.999276,0.990286,0.999984,20,0.9941344692917042,0.008700181315704082,0.9985085396956288,0.9795528066882057,0.9999679910873538,20,0.9949999999999999,0.007745966692414847,0.999,0.982,1.0,20,500.0,0.0,500.0,500,500,20
caa,all_level_fused,0.9300350976716961,0.033820886014424505,0.9403514405567117,0.8745860000000001,0.9821819999999999,20,0.8745120310255615,0.07332456637775618,0.8914823395469651,0.7289928086323794,0.9698791653837274,20,0.6977241935483871,0.17099652558260703,0.753,0.3548387096774194,0.93,20,499.0,1.7770466332772779,500.0,496,500,20
caa,llm_trajectory,0.7458594445109261,0.12531003880753788,0.6966811677939646,0.594712,0.922578,20,0.6090376024180759,0.207952745264439,0.4784395341389459,0.3985137785144143,0.9048434221890543,20,0.3198677419354839,0.2915275025666098,0.11448387096774193,0.05,0.78,20,499.0,1.7770466332772779,500.0,496,500,20
caa,projector_trajectory,0.6585560675338189,0.1728863426377989,0.628004,0.44281200000000004,0.873246,20,0.5306014927956854,0.22369390703001701,0.42142067023115015,0.3013949698846127,0.8391695712105909,20,0.25208548387096774,0.2531604547888287,0.08136290322580644,0.022,0.636,20,499.0,1.7770466332772779,500.0,496,500,20
caa,visual_trajectory,0.9755755221774194,0.014271151743559978,0.9763040443548388,0.956196,0.993498,20,0.9588589401194586,0.028504381843190898,0.9587819549317951,0.9261571533505111,0.9917146972637331,20,0.930266129032258,0.03803964810962174,0.9319999999999999,0.8830645161290323,0.974,20,499.0,1.7770466332772779,500.0,496,500,20
cage,all_level_fused,0.9918547,0.009925445412781493,0.998354,0.971526,1.0,20,0.983069688731875,0.020699331815608193,0.9966680392844819,0.9320922920938841,1.0,20,0.9682000000000001,0.041018096134831934,0.994,0.88,1.0,20,500.0,0.0,500.0,500,500,20
cage,llm_trajectory,0.8507450999999999,0.10788876289659592,0.849502,0.67605,0.9969319999999999,20,0.759862261431369,0.1609607211366618,0.7440495262871508,0.5472450081317295,0.9940294597985222,20,0.5126000000000001,0.3061771760890983,0.438,0.144,0.994,20,500.0,0.0,500.0,500,500,20
cage,projector_trajectory,0.8362993,0.10922678465665635,0.8668469999999999,0.624598,0.9654739999999999,20,0.7448164933801807,0.14435496082614815,0.7421349682582832,0.4882272696895448,0.9349988368763144,20,0.4758,0.2277671017324033,0.41000000000000003,0.142,0.808,20,500.0,0.0,500.0,500,500,20
cage,visual_trajectory,0.999184,0.0013799038868131986,0.99994,0.996856,1.0,20,0.9984249440632578,0.0026576040090459845,0.9998790614779781,0.9939416532970751,1.0,20,0.9974999999999999,0.00444261658319319,1.0,0.99,1.0,20,500.0,0.0,500.0,500,500,20
fata,all_level_fused,0.9347213,0.030668891101227457,0.941603,0.8570859999999999,0.97356,20,0.8699692132400878,0.054011601039385786,0.8850284536615971,0.751188013874814,0.9362003487429824,20,0.6771,0.11886210497883676,0.703,0.47,0.89,20,500.0,0.0,500.0,500,500,20
fata,llm_trajectory,0.7340361,0.08113639444910037,0.730739,0.596544,0.848292,20,0.5816079327766369,0.11098100930746838,0.5754449534971731,0.4232840264979738,0.7747346898416424,20,0.2472,0.13794644269654646,0.235,0.078,0.522,20,500.0,0.0,500.0,500,500,20
fata,projector_trajectory,0.7161918,0.05838148512165929,0.72398,0.623378,0.809974,20,0.5666858011680278,0.07296881903680569,0.5623145617348024,0.46222871837401447,0.7011926301217007,20,0.2209,0.08166033631032747,0.186,0.126,0.41,20,500.0,0.0,500.0,500,500,20
fata,visual_trajectory,0.98859,0.007943928234159323,0.988664,0.97807,0.998962,20,0.9688179706166009,0.025429593789611866,0.9725182738502232,0.9325283466529357,0.9977069881130217,20,0.974,0.020261449005179143,0.975,0.946,1.0,20,500.0,0.0,500.0,500,500,20
