,,,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR
,,,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,scope,detector,llm_pool,,,,,,,,,,,,,,,,,,
base_sanity,fused,all_level_fused,image,0.9903809000000001,0.012513429778904706,0.99567,0.952668,0.999606,20,0.9821682330625403,0.02180770761907247,0.9913633121341419,0.9214814333292093,0.99922248395362,20,0.9606,0.056419854661280355,0.982,0.768,1.0,20
base_sanity,llm_layer,llm_image_l08,image,0.8524423000000001,0.08308124952377385,0.8756039999999999,0.665492,0.967076,20,0.7638152742472274,0.11675217755576224,0.7872513051869492,0.5899141844563622,0.947176384814327,20,0.48579999999999995,0.20984997147084816,0.523,0.162,0.848,20
base_sanity,llm_layer,llm_image_l16,image,0.8517667,0.08384533890010634,0.882624,0.662382,0.9495659999999999,20,0.7620492274889022,0.11055185392121665,0.7714254840098282,0.5863569697266935,0.9182922391980228,20,0.4816,0.19382314239098436,0.535,0.154,0.81,20
base_sanity,llm_layer,llm_image_l24,image,0.8653534,0.08681281812970396,0.90645,0.674194,0.966254,20,0.7935595743535602,0.11442723927400374,0.844222455973666,0.6085651232624939,0.9420961999415126,20,0.5494,0.2062222612925956,0.626,0.152,0.838,20
base_sanity,llm_layer,llm_image_l32,image,0.8516657999999999,0.07356212964462512,0.865416,0.70669,0.949428,20,0.7597545282587651,0.11058697891022279,0.7496981947013295,0.5386748534965838,0.9074111079884831,20,0.48019999999999996,0.1785271909114599,0.46399999999999997,0.218,0.746,20
base_sanity,projector_layer,proj_in,image,0.9494614,0.03135846347672436,0.955878,0.852622,0.9901679999999999,20,0.9207628151384617,0.04637137149787608,0.9280622474995865,0.7776833352571835,0.9819879422450108,20,0.7851,0.12185319035626442,0.801,0.476,0.968,20
base_sanity,projector_layer,proj_out,image,0.8634237,0.07783579730439281,0.888537,0.678016,0.9634260000000001,20,0.7930258802319612,0.10802494076318826,0.8195828053184637,0.611009113268532,0.9453827127877328,20,0.5377,0.18868104526450258,0.5700000000000001,0.176,0.812,20
base_sanity,stage_trajectory,llm_trajectory,image,0.8766429,0.08439741803851837,0.913616,0.679348,0.97669,20,0.8059005051701845,0.11122937770527856,0.8449320960511055,0.6314839450440483,0.9608621073951741,20,0.5717,0.19804547590469163,0.639,0.164,0.888,20
base_sanity,stage_trajectory,projector_trajectory,image,0.929603,0.05019784124316192,0.9393659999999999,0.7715099999999999,0.9873320000000001,20,0.8918659142542076,0.06772078188057498,0.9045019965333188,0.6984074966440723,0.9787105557573627,20,0.7335,0.13807072939544238,0.748,0.416,0.944,20
base_sanity,stage_trajectory,visual_trajectory,image,0.9972055000000001,0.004129362477875287,0.999276,0.990286,0.999984,20,0.9941344692917042,0.008700181315704082,0.9985085396956288,0.9795528066882057,0.9999679910873538,20,0.9949999999999999,0.007745966692414847,0.999,0.982,1.0,20
base_sanity,visual_layer,vis_l06,image,0.999531,0.0007466874213907919,0.9999260000000001,0.9982719999999999,1.0,20,0.9991164729479427,0.0014032763901922908,0.9998577154179998,0.9967504609557716,1.0,20,0.9984999999999999,0.002665569949915917,1.0,0.994,1.0,20
base_sanity,visual_layer,vis_l12,image,0.991093,0.008796120975209768,0.995641,0.9762860000000001,0.9968039999999999,20,0.9879610028077579,0.011212936668415899,0.9929885370921132,0.9693608327694678,0.9965061042773375,20,0.9789999999999999,0.014689774459950396,0.984,0.956,0.992,20
base_sanity,visual_layer,vis_l18,image,0.9595874999999999,0.03607835147287085,0.970458,0.9058339999999999,0.9915999999999999,20,0.9108160092134717,0.07493610781861217,0.9218811996763334,0.8168465995010287,0.9826550380001913,20,0.7945,0.1925855927277941,0.853,0.504,0.968,20
base_sanity,visual_layer,vis_l24,image,0.97658925,0.016469570271692293,0.9827494999999999,0.949654,0.991204,20,0.9614956833333306,0.024617392945626294,0.9719417809223035,0.9207428090748766,0.9813563624138383,20,0.906,0.07131841129381446,0.9259999999999999,0.794,0.978,20
fata_aware,fused,all_level_fused,image,0.9370877999999999,0.027309463267480977,0.943087,0.8755740000000001,0.9749279999999999,20,0.8781327527036152,0.04752941059133226,0.8914652426618062,0.7738920640156453,0.9522981025917157,20,0.6927,0.11463126238417456,0.712,0.498,0.876,20
fata_aware,llm_layer,llm_image_l08,image,0.7140936,0.0629372405482762,0.717517,0.5897600000000001,0.7895399999999999,20,0.5626857963372085,0.08687534417234298,0.563577115082071,0.40562776267467526,0.6884830251015199,20,0.2211,0.09758014250105561,0.216,0.064,0.396,20
fata_aware,llm_layer,llm_image_l16,image,0.7265867,0.06969483573490787,0.723661,0.598394,0.838642,20,0.5738869745057845,0.09249393751488695,0.5722926803665296,0.4002693622926401,0.7256605921585302,20,0.2334,0.1151147711039543,0.226,0.072,0.458,20
fata_aware,llm_layer,llm_image_l24,image,0.7618886,0.07545945459677074,0.759783,0.622204,0.887748,20,0.6226269135768228,0.09812972587515721,0.6008212264257664,0.4444358257380423,0.797655652892142,20,0.29369999999999996,0.14497517028788068,0.239,0.102,0.572,20
fata_aware,llm_layer,llm_image_l32,image,0.7824454999999999,0.07237974230077306,0.7870569999999999,0.6406,0.879026,20,0.6480867229763076,0.10465230912484359,0.646195180449235,0.4548011460431938,0.8308153149718087,20,0.3047,0.13634364478656205,0.271,0.118,0.648,20
fata_aware,projector_layer,proj_in,image,0.7712657,0.05197194654315164,0.780019,0.6591239999999999,0.875154,20,0.6420101525659978,0.07586420208601417,0.6403659635724231,0.4834193651176429,0.7752963263008393,20,0.305,0.09985568534007887,0.306,0.156,0.452,20
fata_aware,projector_layer,proj_out,image,0.7169466,0.060687781668401546,0.7285170000000001,0.5962000000000001,0.8022499999999999,20,0.5711062549386337,0.08107275657564103,0.5774362720762071,0.4104395379731116,0.6891683157971035,20,0.2312,0.08145880457080905,0.229,0.074,0.386,20
fata_aware,stage_trajectory,llm_trajectory,image,0.7619805,0.07493258192008687,0.770761,0.616834,0.871418,20,0.6195633344322612,0.09680734849644887,0.607931279246048,0.44512812036913313,0.7599460405967157,20,0.2782,0.12895678590744633,0.247,0.088,0.544,20
fata_aware,stage_trajectory,projector_trajectory,image,0.7553740999999999,0.055692669299232576,0.769342,0.633446,0.8458580000000001,20,0.6226998464946253,0.07530208172392663,0.6212674451133611,0.46291648867206137,0.7439434027919403,20,0.2846,0.09069114736580589,0.273,0.128,0.442,20
fata_aware,stage_trajectory,visual_trajectory,image,0.9900459999999999,0.005457583425116391,0.990352,0.983312,0.9961679999999999,20,0.9678283674449777,0.021369969519535466,0.9725328531800252,0.9351985458469931,0.9910492175728673,20,0.9789999999999999,0.019547512966050087,0.978,0.96,1.0,20
fata_aware,visual_layer,vis_l06,image,0.999672,0.0005035432349596876,0.9999309999999999,0.998826,1.0,20,0.9993607065664302,0.0009836656364533968,0.9998675714327926,0.9977076834001357,1.0,20,0.9994999999999999,0.0008885233166386364,1.0,0.998,1.0,20
fata_aware,visual_layer,vis_l12,image,0.9912805,0.005602435067380172,0.990545,0.985738,0.998294,20,0.9676679894161694,0.026091107457019033,0.9737075589401607,0.9270491702662993,0.9962076695180568,20,0.982,0.026397767050702594,0.995,0.938,1.0,20
fata_aware,visual_layer,vis_l18,image,0.8341972500000001,0.011284174091807098,0.8375745,0.816096,0.8455440000000001,20,0.6634506127093236,0.0171225433938554,0.6708258271090444,0.6352134994121851,0.676937297207021,20,0.2905,0.03468277291166475,0.3,0.238,0.324,20
fata_aware,visual_layer,vis_l24,image,0.7789539999999999,0.013965704007355102,0.7776559999999999,0.764304,0.7962000000000001,20,0.6813227285028882,0.026426800065396806,0.6857474472205731,0.6439961565701433,0.7097998630002631,20,0.391,0.06944138004934734,0.4,0.304,0.46,20
fata_unseen_base_dir,fused,all_level_fused,image,0.9347213,0.030668891101227457,0.941603,0.8570859999999999,0.97356,20,0.8699692132400878,0.054011601039385786,0.8850284536615971,0.751188013874814,0.9362003487429824,20,0.6771,0.11886210497883676,0.703,0.47,0.89,20
fata_unseen_base_dir,llm_layer,llm_image_l08,image,0.70837555,0.07057774694057535,0.722396,0.580526,0.802704,20,0.5569392601265573,0.09241435464985613,0.5527799237204316,0.3996801341879539,0.7083564235259739,20,0.2209,0.10401917839362225,0.216,0.068,0.41,20
