,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR
,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,detector,,,,,,,,,,,,,,,,,,
base_sanity,all_level_fused,0.9903809000000001,0.012513429778904706,0.99567,0.952668,0.999606,20,0.9821682330625403,0.02180770761907247,0.9913633121341419,0.9214814333292093,0.99922248395362,20,0.9606,0.056419854661280355,0.982,0.768,1.0,20
base_sanity,llm_trajectory,0.8766429,0.08439741803851837,0.913616,0.679348,0.97669,20,0.8059005051701845,0.11122937770527856,0.8449320960511055,0.6314839450440483,0.9608621073951741,20,0.5717,0.19804547590469163,0.639,0.164,0.888,20
base_sanity,projector_trajectory,0.929603,0.05019784124316192,0.9393659999999999,0.7715099999999999,0.9873320000000001,20,0.8918659142542076,0.06772078188057498,0.9045019965333188,0.6984074966440723,0.9787105557573627,20,0.7335,0.13807072939544238,0.748,0.416,0.944,20
base_sanity,visual_trajectory,0.9972055000000001,0.004129362477875287,0.999276,0.990286,0.999984,20,0.9941344692917042,0.008700181315704082,0.9985085396956288,0.9795528066882057,0.9999679910873538,20,0.9949999999999999,0.007745966692414847,0.999,0.982,1.0,20
fata_aware,all_level_fused,0.9370877999999999,0.027309463267480977,0.943087,0.8755740000000001,0.9749279999999999,20,0.8781327527036152,0.04752941059133226,0.8914652426618062,0.7738920640156453,0.9522981025917157,20,0.6927,0.11463126238417456,0.712,0.498,0.876,20
fata_aware,llm_trajectory,0.7619805,0.07493258192008687,0.770761,0.616834,0.871418,20,0.6195633344322612,0.09680734849644887,0.607931279246048,0.44512812036913313,0.7599460405967157,20,0.2782,0.12895678590744633,0.247,0.088,0.544,20
fata_aware,projector_trajectory,0.7553740999999999,0.055692669299232576,0.769342,0.633446,0.8458580000000001,20,0.6226998464946253,0.07530208172392663,0.6212674451133611,0.46291648867206137,0.7439434027919403,20,0.2846,0.09069114736580589,0.273,0.128,0.442,20
fata_aware,visual_trajectory,0.9900459999999999,0.005457583425116391,0.990352,0.983312,0.9961679999999999,20,0.9678283674449777,0.021369969519535466,0.9725328531800252,0.9351985458469931,0.9910492175728673,20,0.9789999999999999,0.019547512966050087,0.978,0.96,1.0,20
fata_unseen_base_dir,all_level_fused,0.9347213,0.030668891101227457,0.941603,0.8570859999999999,0.97356,20,0.8699692132400878,0.054011601039385786,0.8850284536615971,0.751188013874814,0.9362003487429824,20,0.6771,0.11886210497883676,0.703,0.47,0.89,20
fata_unseen_base_dir,llm_trajectory,0.7340361,0.08113639444910037,0.730739,0.596544,0.848292,20,0.5816079327766369,0.11098100930746838,0.5754449534971731,0.4232840264979738,0.7747346898416424,20,0.2472,0.13794644269654646,0.235,0.078,0.522,20
fata_unseen_base_dir,projector_trajectory,0.7161918,0.05838148512165929,0.72398,0.623378,0.809974,20,0.5666858011680278,0.07296881903680569,0.5623145617348024,0.46222871837401447,0.7011926301217007,20,0.2209,0.08166033631032747,0.186,0.126,0.41,20
fata_unseen_base_dir,visual_trajectory,0.98859,0.007943928234159323,0.988664,0.97807,0.998962,20,0.9688179706166009,0.025429593789611866,0.9725182738502232,0.9325283466529357,0.9977069881130217,20,0.974,0.020261449005179143,0.975,0.946,1.0,20
