Dataset,Method,Budget,Clean,Attack,Gap
TextVQA_Open,NoCompression,Full,87.575150,81.229125,6.346025
TextVQA_Open,VisionZIP,1/3,81.563126,64.595858,16.967268
TextVQA_Open,VisionZIP,2/9,69.271877,50.701403,18.570474
TextVQA_Open,VisionZIP,1/9,51.837007,31.930528,19.906480
TextVQA_Open,VisionZIP,1/18,35.571142,20.741483,14.829659
TextVQA_Open,VisionZIP,1/36,24.014696,14.863059,9.151637
TextVQA_Open,VisPruner,1/3,66.032064,43.987976,22.044088
TextVQA_Open,VisPruner,2/9,56.479626,32.965932,23.513694
TextVQA_Open,VisPruner,1/9,41.616566,22.812291,18.804275
TextVQA_Open,VisPruner,1/18,30.594522,16.867067,13.727455
TextVQA_Open,VisPruner,1/36,22.211089,14.061456,8.149633
TextVQA_Open,DivPrune,1/3,49.465598,35.003340,14.462258
TextVQA_Open,DivPrune,2/9,40.080160,27.120908,12.959252
TextVQA_Open,DivPrune,1/9,26.519706,20.006680,6.513026
TextVQA_Open,DivPrune,1/18,20.741483,14.662659,6.078824
TextVQA_Open,DivPrune,1/36,15.263861,12.525050,2.738811
TextVQA_Open,FlowCut,1/3,78.356713,62.024048,16.332665
TextVQA_Open,FlowCut,2/9,67.301269,48.029392,19.271877
TextVQA_Open,FlowCut,1/9,49.198397,26.786907,22.411490
TextVQA_Open,FlowCut,1/18,34.569138,17.468270,17.100868
TextVQA_Open,FlowCut,1/36,21.108884,13.092852,8.016032
TextVQA_Open,PruMerge,1/3,82.331329,65.330661,17.000668
TextVQA_Open,PruMerge,2/9,68.837675,52.404810,16.432866
TextVQA_Open,PruMerge,1/9,47.327989,33.366733,13.961256
TextVQA_Open,PruMerge,1/18,28.523714,22.077488,6.446226
TextVQA_Open,PruMerge,1/36,17.100868,15.731463,1.369405
VQAv2_Open,NoCompression,Full,79.100000,70.000000,9.100000
VQAv2_Open,VisionZIP,1/3,77.800000,66.700000,11.100000
VQAv2_Open,VisionZIP,2/9,75.100000,62.366667,12.733333
VQAv2_Open,VisionZIP,1/9,71.133333,53.100000,18.033333
VQAv2_Open,VisionZIP,1/18,61.366667,43.233333,18.133333
VQAv2_Open,VisionZIP,1/36,47.833333,35.533333,12.300000
VQAv2_Open,VisPruner,1/3,75.900000,62.166667,13.733333
VQAv2_Open,VisPruner,2/9,73.066667,58.566667,14.500000
VQAv2_Open,VisPruner,1/9,66.200000,48.200000,18.000000
VQAv2_Open,VisPruner,1/18,56.566667,39.733333,16.833333
VQAv2_Open,VisPruner,1/36,49.000000,34.633333,14.366667
VQAv2_Open,DivPrune,1/3,77.433333,61.966667,15.466667
VQAv2_Open,DivPrune,2/9,74.000000,57.533333,16.466667
VQAv2_Open,DivPrune,1/9,65.133333,50.866667,14.266667
VQAv2_Open,DivPrune,1/18,57.100000,41.200000,15.900000
