Dataset,Compressor,N,Denominator_CF_and_AF,Numerator_CF_and_AF_and_not_AP,CBR_Pct
TextVQA_Open,VisionZIP,998,825,513,62.181818
VQAv2_Open,VisionZIP,1000,743,208,27.994616
ScienceQA_MC,VisionZIP,1000,964,399,41.390041
VQAv2_MC,VisionZIP,1000,926,213,23.002160
All (pooled),VisionZIP,,3458,1333,38.548294
TextVQA_Open,VisPruner,998,825,598,72.484848
VQAv2_Open,VisPruner,1000,743,268,36.069987
ScienceQA_MC,VisPruner,1000,964,397,41.182573
VQAv2_MC,VisPruner,1000,926,218,23.542117
All (pooled),VisPruner,,3458,1481,42.828224
TextVQA_Open,DivPrune,998,825,627,76.000000
VQAv2_Open,DivPrune,1000,743,233,31.359354
ScienceQA_MC,DivPrune,1000,964,382,39.626556
VQAv2_MC,DivPrune,1000,926,205,22.138229
All (pooled),DivPrune,,3458,1447,41.844997
TextVQA_Open,FlowCut,998,825,558,67.636364
VQAv2_Open,FlowCut,1000,743,272,36.608345
ScienceQA_MC,FlowCut,1000,964,423,43.879668
VQAv2_MC,FlowCut,1000,926,246,26.565875
All (pooled),FlowCut,,3458,1499,43.348757
TextVQA_Open,PruMerge,998,825,496,60.121212
VQAv2_Open,PruMerge,1000,743,178,23.956931
ScienceQA_MC,PruMerge,1000,964,362,37.551867
VQAv2_MC,PruMerge,1000,926,203,21.922246
All (pooled),PruMerge,,3458,1239,35.829960
