Dataset,Compression_Method,Budget_Label,Retention_Ratio,Clean_Accuracy,Attack_Accuracy,Gap_pp,N_Samples,Clean_Credit_Sum,Attack_Credit_Sum,Clean_Exact_Correct,Attack_Exact_Correct,Selected_Attack
TextVQA_Open,NoCompression,Full,1.000000,87.575150,81.229125,6.346025,998,874.000000,810.666667,909,848,TA-FATA-Practical
TextVQA_Open,VisionZIP,1/3,0.333333,81.563126,64.595858,16.967268,998,814.000000,644.666667,851,672,TA-FATA-Practical
TextVQA_Open,VisionZIP,2/9,0.222222,69.271877,50.701403,18.570474,998,691.333333,506.000000,721,532,TA-FATA-Practical
TextVQA_Open,VisionZIP,1/9,0.111111,51.837007,31.930528,19.906480,998,517.333333,318.666667,543,335,TA-FATA-Practical
TextVQA_Open,VisionZIP,1/18,0.055556,35.571142,20.741483,14.829659,998,355.000000,207.000000,378,225,TA-FATA-Practical
TextVQA_Open,VisionZIP,1/36,0.027778,24.014696,14.863059,9.151637,998,239.666667,148.333333,258,159,TA-FATA-Practical
TextVQA_Open,VisPruner,1/3,0.333333,66.032064,43.987976,22.044088,998,659.000000,439.000000,689,461,TA-FATA-Practical
TextVQA_Open,VisPruner,2/9,0.222222,56.479626,32.965932,23.513694,998,563.666667,329.000000,589,352,TA-FATA-Practical
TextVQA_Open,VisPruner,1/9,0.111111,41.616566,22.812291,18.804275,998,415.333333,227.666667,438,243,TA-FATA-Practical
TextVQA_Open,VisPruner,1/18,0.055556,30.594522,16.867067,13.727455,998,305.333333,168.333333,328,183,TA-FATA-Practical
TextVQA_Open,VisPruner,1/36,0.027778,22.211089,14.061456,8.149633,998,221.666667,140.333333,236,150,TA-FATA-Practical
TextVQA_Open,DivPrune,1/3,0.333333,49.465598,35.003340,14.462258,998,493.666667,349.333333,519,370,TA-FATA-Practical
TextVQA_Open,DivPrune,2/9,0.222222,40.080160,27.120908,12.959252,998,400.000000,270.666667,421,288,TA-FATA-Practical
TextVQA_Open,DivPrune,1/9,0.111111,26.519706,20.006680,6.513026,998,264.666667,199.666667,279,211,TA-FATA-Practical
TextVQA_Open,DivPrune,1/18,0.055556,20.741483,14.662659,6.078824,998,207.000000,146.333333,221,159,TA-FATA-Practical
TextVQA_Open,DivPrune,1/36,0.027778,15.263861,12.525050,2.738811,998,152.333333,125.000000,162,135,TA-FATA-Practical
TextVQA_Open,FlowCut,1/3,0.333333,78.356713,62.024048,16.332665,998,782.000000,619.000000,815,649,TA-FATA-Practical
TextVQA_Open,FlowCut,2/9,0.222222,67.301269,48.029392,19.271877,998,671.666667,479.333333,705,505,TA-FATA-Practical
TextVQA_Open,FlowCut,1/9,0.111111,49.198397,26.786907,22.411490,998,491.000000,267.333333,518,286,TA-FATA-Practical
TextVQA_Open,FlowCut,1/18,0.055556,34.569138,17.468270,17.100868,998,345.000000,174.333333,366,186,TA-FATA-Practical
TextVQA_Open,FlowCut,1/36,0.027778,21.108884,13.092852,8.016032,998,210.666667,130.666667,225,138,TA-FATA-Practical
TextVQA_Open,PruMerge,1/3,0.333333,82.331329,65.330661,17.000668,998,821.666667,652.000000,857,687,TA-FATA-Practical
TextVQA_Open,PruMerge,2/9,0.222222,68.837675,52.404810,16.432866,998,687.000000,523.000000,720,548,TA-FATA-Practical
TextVQA_Open,PruMerge,1/9,0.111111,47.327989,33.366733,13.961256,998,472.333333,333.000000,491,351,TA-FATA-Practical
TextVQA_Open,PruMerge,1/18,0.055556,28.523714,22.077488,6.446226,998,284.666667,220.333333,304,235,TA-FATA-Practical
TextVQA_Open,PruMerge,1/36,0.027778,17.100868,15.731463,1.369405,998,170.666667,157.000000,189,171,TA-FATA-Practical
VQAv2_Open,NoCompression,Full,1.000000,79.100000,70.000000,9.100000,1000,791.000000,700.000000,875,771,TA-FATA-Practical
VQAv2_Open,VisionZIP,1/3,0.333333,77.800000,66.700000,11.100000,1000,778.000000,667.000000,862,738,TA-FATA-Practical
VQAv2_Open,VisionZIP,2/9,0.222222,75.100000,62.366667,12.733333,1000,751.000000,623.666667,824,694,TA-FATA-Practical
VQAv2_Open,VisionZIP,1/9,0.111111,71.133333,53.100000,18.033333,1000,711.333333,531.000000,783,599,TA-FATA-Practical
VQAv2_Open,VisionZIP,1/18,0.055556,61.366667,43.233333,18.133333,1000,613.666667,432.333333,679,496,TA-FATA-Practical
VQAv2_Open,VisionZIP,1/36,0.027778,47.833333,35.533333,12.300000,1000,478.333333,355.333333,544,414,TA-FATA-Practical
VQAv2_Open,VisPruner,1/3,0.333333,75.900000,62.166667,13.733333,1000,759.000000,621.666667,838,693,TA-FATA-Practical
VQAv2_Open,VisPruner,2/9,0.222222,73.066667,58.566667,14.500000,1000,730.666667,585.666667,806,651,TA-FATA-Practical
VQAv2_Open,VisPruner,1/9,0.111111,66.200000,48.200000,18.000000,1000,662.000000,482.000000,737,539,TA-FATA-Practical
VQAv2_Open,VisPruner,1/18,0.055556,56.566667,39.733333,16.833333,1000,565.666667,397.333333,632,448,TA-FATA-Practical
VQAv2_Open,VisPruner,1/36,0.027778,49.000000,34.633333,14.366667,1000,490.000000,346.333333,549,397,TA-FATA-Practical
VQAv2_Open,DivPrune,1/3,0.333333,77.433333,61.966667,15.466667,1000,774.333333,619.666667,850,689,TA-FATA-Practical
VQAv2_Open,DivPrune,2/9,0.222222,74.000000,57.533333,16.466667,1000,740.000000,575.333333,812,641,TA-FATA-Practical
VQAv2_Open,DivPrune,1/9,0.111111,65.133333,50.866667,14.266667,1000,651.333333,508.666667,728,573,TA-FATA-Practical
VQAv2_Open,DivPrune,1/18,0.055556,57.100000,41.200000,15.900000,1000,571.000000,412.000000,635,465,TA-FATA-Practical
VQAv2_Open,DivPrune,1/36,0.027778,44.233333,32.866667,11.366667,1000,442.333333,328.666667,490,383,TA-FATA-Practical
VQAv2_Open,FlowCut,1/3,0.333333,75.833333,61.900000,13.933333,1000,758.333333,619.000000,834,690,TA-FATA-Practical
VQAv2_Open,FlowCut,2/9,0.222222,73.866667,57.666667,16.200000,1000,738.666667,576.666667,818,645,TA-FATA-Practical
VQAv2_Open,FlowCut,1/9,0.111111,66.500000,47.566667,18.933333,1000,665.000000,475.666667,729,534,TA-FATA-Practical
VQAv2_Open,FlowCut,1/18,0.055556,56.800000,39.066667,17.733333,1000,568.000000,390.666667,631,441,TA-FATA-Practical
VQAv2_Open,FlowCut,1/36,0.027778,41.400000,31.133333,10.266667,1000,414.000000,311.333333,472,358,TA-FATA-Practical
VQAv2_Open,PruMerge,1/3,0.333333,76.933333,66.066667,10.866667,1000,769.333333,660.666667,847,734,TA-FATA-Practical
VQAv2_Open,PruMerge,2/9,0.222222,74.200000,64.200000,10.000000,1000,742.000000,642.000000,822,714,TA-FATA-Practical
VQAv2_Open,PruMerge,1/9,0.111111,69.866667,56.933333,12.933333,1000,698.666667,569.333333,778,637,TA-FATA-Practical
VQAv2_Open,PruMerge,1/18,0.055556,57.733333,45.866667,11.866667,1000,577.333333,458.666667,651,527,TA-FATA-Practical
VQAv2_Open,PruMerge,1/36,0.027778,46.833333,37.133333,9.700000,1000,468.333333,371.333333,533,424,TA-FATA-Practical
ScienceQA_MC,NoCompression,Full,1.000000,98.700000,96.600000,2.100000,1000,987.000000,966.000000,987,966,TA-FATA-Practical
ScienceQA_MC,VisionZIP,1/3,0.333333,97.100000,91.900000,5.200000,1000,971.000000,919.000000,971,919,TA-FATA-Practical
ScienceQA_MC,VisionZIP,2/9,0.222222,92.800000,82.600000,10.200000,1000,928.000000,826.000000,928,826,TA-FATA-Practical
ScienceQA_MC,VisionZIP,1/9,0.111111,81.600000,66.600000,15.000000,1000,816.000000,666.000000,816,666,TA-FATA-Practical
ScienceQA_MC,VisionZIP,1/18,0.055556,68.100000,57.400000,10.700000,1000,681.000000,574.000000,681,574,TA-FATA-Practical
ScienceQA_MC,VisionZIP,1/36,0.027778,58.700000,53.900000,4.800000,1000,587.000000,539.000000,587,539,TA-FATA-Practical
ScienceQA_MC,VisPruner,1/3,0.333333,95.200000,88.600000,6.600000,1000,952.000000,886.000000,952,886,TA-FATA-Practical
ScienceQA_MC,VisPruner,2/9,0.222222,90.300000,77.200000,13.100000,1000,903.000000,772.000000,903,772,TA-FATA-Practical
ScienceQA_MC,VisPruner,1/9,0.111111,78.100000,61.000000,17.100000,1000,781.000000,610.000000,781,610,TA-FATA-Practical
ScienceQA_MC,VisPruner,1/18,0.055556,67.900000,57.500000,10.400000,1000,679.000000,575.000000,679,575,TA-FATA-Practical
ScienceQA_MC,VisPruner,1/36,0.027778,63.900000,54.300000,9.600000,1000,639.000000,543.000000,639,543,TA-FATA-Practical
ScienceQA_MC,DivPrune,1/3,0.333333,93.000000,85.800000,7.200000,1000,930.000000,858.000000,930,858,TA-FATA-Practical
ScienceQA_MC,DivPrune,2/9,0.222222,90.100000,82.300000,7.800000,1000,901.000000,823.000000,901,823,TA-FATA-Practical
ScienceQA_MC,DivPrune,1/9,0.111111,85.900000,65.200000,20.700000,1000,859.000000,652.000000,859,652,TA-FATA-Practical
ScienceQA_MC,DivPrune,1/18,0.055556,70.900000,58.900000,12.000000,1000,709.000000,589.000000,709,589,TA-FATA-Practical
ScienceQA_MC,DivPrune,1/36,0.027778,58.600000,54.100000,4.500000,1000,586.000000,541.000000,586,541,TA-FATA-Practical
ScienceQA_MC,FlowCut,1/3,0.333333,95.000000,88.800000,6.200000,1000,950.000000,888.000000,950,888,TA-FATA-Practical
ScienceQA_MC,FlowCut,2/9,0.222222,90.000000,78.300000,11.700000,1000,900.000000,783.000000,900,783,TA-FATA-Practical
ScienceQA_MC,FlowCut,1/9,0.111111,74.200000,59.700000,14.500000,1000,742.000000,597.000000,742,597,TA-FATA-Practical
ScienceQA_MC,FlowCut,1/18,0.055556,64.500000,54.800000,9.700000,1000,645.000000,548.000000,645,548,TA-FATA-Practical
ScienceQA_MC,FlowCut,1/36,0.027778,53.600000,51.500000,2.100000,1000,536.000000,515.000000,536,515,TA-FATA-Practical
ScienceQA_MC,PruMerge,1/3,0.333333,93.500000,88.100000,5.400000,1000,935.000000,881.000000,935,881,TA-FATA-Practical
ScienceQA_MC,PruMerge,2/9,0.222222,87.700000,81.900000,5.800000,1000,877.000000,819.000000,877,819,TA-FATA-Practical
ScienceQA_MC,PruMerge,1/9,0.111111,75.400000,70.200000,5.200000,1000,754.000000,702.000000,754,702,TA-FATA-Practical
ScienceQA_MC,PruMerge,1/18,0.055556,67.900000,60.700000,7.200000,1000,679.000000,607.000000,679,607,TA-FATA-Practical
ScienceQA_MC,PruMerge,1/36,0.027778,56.700000,55.100000,1.600000,1000,567.000000,551.000000,567,551,TA-FATA-Practical
VQAv2_MC,NoCompression,Full,1.000000,96.700000,93.300000,3.400000,1000,967.000000,933.000000,967,933,TA-FATA-Practical
VQAv2_MC,VisionZIP,1/3,0.333333,96.000000,91.200000,4.800000,1000,960.000000,912.000000,960,912,TA-FATA-Practical
VQAv2_MC,VisionZIP,2/9,0.222222,93.900000,89.100000,4.800000,1000,939.000000,891.000000,939,891,TA-FATA-Practical
VQAv2_MC,VisionZIP,1/9,0.111111,90.700000,82.100000,8.600000,1000,907.000000,821.000000,907,821,TA-FATA-Practical
VQAv2_MC,VisionZIP,1/18,0.055556,84.500000,72.800000,11.700000,1000,845.000000,728.000000,845,728,TA-FATA-Practical
VQAv2_MC,VisionZIP,1/36,0.027778,75.800000,64.000000,11.800000,1000,758.000000,640.000000,758,640,TA-FATA-Practical
VQAv2_MC,VisPruner,1/3,0.333333,94.500000,89.600000,4.900000,1000,945.000000,896.000000,945,896,TA-FATA-Practical
VQAv2_MC,VisPruner,2/9,0.222222,93.400000,85.200000,8.200000,1000,934.000000,852.000000,934,852,TA-FATA-Practical
VQAv2_MC,VisPruner,1/9,0.111111,91.300000,78.400000,12.900000,1000,913.000000,784.000000,913,784,TA-FATA-Practical
VQAv2_MC,VisPruner,1/18,0.055556,84.600000,72.700000,11.900000,1000,846.000000,727.000000,846,727,TA-FATA-Practical
VQAv2_MC,VisPruner,1/36,0.027778,76.900000,65.600000,11.300000,1000,769.000000,656.000000,769,656,TA-FATA-Practical
VQAv2_MC,DivPrune,1/3,0.333333,94.900000,87.600000,7.300000,1000,949.000000,876.000000,949,876,TA-FATA-Practical
VQAv2_MC,DivPrune,2/9,0.222222,93.000000,85.500000,7.500000,1000,930.000000,855.000000,930,855,TA-FATA-Practical
VQAv2_MC,DivPrune,1/9,0.111111,88.600000,81.900000,6.700000,1000,886.000000,819.000000,886,819,TA-FATA-Practical
VQAv2_MC,DivPrune,1/18,0.055556,83.200000,73.400000,9.800000,1000,832.000000,734.000000,832,734,TA-FATA-Practical
VQAv2_MC,DivPrune,1/36,0.027778,75.900000,65.200000,10.700000,1000,759.000000,652.000000,759,652,TA-FATA-Practical
VQAv2_MC,FlowCut,1/3,0.333333,94.500000,88.500000,6.000000,1000,945.000000,885.000000,945,885,TA-FATA-Practical
VQAv2_MC,FlowCut,2/9,0.222222,92.700000,85.900000,6.800000,1000,927.000000,859.000000,927,859,TA-FATA-Practical
VQAv2_MC,FlowCut,1/9,0.111111,87.900000,77.800000,10.100000,1000,879.000000,778.000000,879,778,TA-FATA-Practical
