Dataset,Method,Budget,Clean,Attack,Gap,N
TextVQA_Open,VisionZIP,1/9,51.837007,31.930528,19.906480,998
TextVQA_Open,VisPruner,1/9,41.616566,22.812291,18.804275,998
TextVQA_Open,DivPrune,1/9,26.519706,20.006680,6.513026,998
TextVQA_Open,FlowCut,1/9,49.198397,26.786907,22.411490,998
TextVQA_Open,PruMerge,1/9,47.327989,33.366733,13.961256,998
TextVQA_Open,Average,1/9,43.299933,26.980628,16.319305,998
VQAv2_Open,VisionZIP,1/9,71.133333,53.100000,18.033333,1000
VQAv2_Open,VisPruner,1/9,66.200000,48.200000,18.000000,1000
VQAv2_Open,DivPrune,1/9,65.133333,50.866667,14.266667,1000
VQAv2_Open,FlowCut,1/9,66.500000,47.566667,18.933333,1000
VQAv2_Open,PruMerge,1/9,69.866667,56.933333,12.933333,1000
VQAv2_Open,Average,1/9,67.766667,51.333333,16.433333,1000
ScienceQA_MC,VisionZIP,1/18,68.100000,57.400000,10.700000,1000
ScienceQA_MC,VisPruner,1/18,67.900000,57.500000,10.400000,1000
ScienceQA_MC,DivPrune,1/18,70.900000,58.900000,12.000000,1000
ScienceQA_MC,FlowCut,1/18,64.500000,54.800000,9.700000,1000
ScienceQA_MC,PruMerge,1/18,67.900000,60.700000,7.200000,1000
ScienceQA_MC,Average,1/18,67.860000,57.860000,10.000000,1000
VQAv2_MC,VisionZIP,1/18,84.500000,72.800000,11.700000,1000
VQAv2_MC,VisPruner,1/18,84.600000,72.700000,11.900000,1000
VQAv2_MC,DivPrune,1/18,83.200000,73.400000,9.800000,1000
VQAv2_MC,FlowCut,1/18,80.000000,69.400000,10.600000,1000
VQAv2_MC,PruMerge,1/18,81.900000,73.500000,8.400000,1000
VQAv2_MC,Average,1/18,82.840000,72.360000,10.480000,1000
Macro Average,Average,"Open=1/9, MC=1/18",65.441650,52.133490,13.308160,
