Dataset,Method,Attack,K_prac,SR (%),ASR (%),CBR (%),Rows_Aligned
TextVQA_Open,VisionZIP,Base,64,42.7930082396678,74.20100000000001,40.38461538461539,
TextVQA_Open,VisionZIP,CAGE,64,19.92738656868926,88.601,47.39884393063584,
TextVQA_Open,VisionZIP,FATA,64,94.2398417288084,29.142000000000014,18.36228287841191,
TextVQA_Open,VisPruner,Base,64,43.5506663478053,70.333,35.05434782608695,
TextVQA_Open,VisPruner,CAGE,64,20.72417766376068,86.9,46.590909090909086,
TextVQA_Open,VisPruner,FATA,64,93.51479444311585,25.37,14.357053682896378,
TextVQA_Open,PruMerge,Base,64,44.02243624584212,80.034,56.06469002695418,
TextVQA_Open,PruMerge,CAGE,64,21.087244820314368,89.566,55.00000000000001,
TextVQA_Open,PruMerge,FATA,64,94.564862925843,61.81099999999999,55.73366214549939,
TextVQA_Open,FlowCut,Base,64,43.37021979694328,75.401,45.65217391304348,
TextVQA_Open,FlowCut,CAGE,64,22.89714546600865,88.768,55.778894472361806,
TextVQA_Open,FlowCut,FATA,64,93.91482053177384,33.17100000000001,23.53673723536737,
ScienceQA_MC,VisionZIP,Base,32,59.85169491525424,53.0,25.23020257826888,
ScienceQA_MC,VisionZIP,CAGE,32,41.41949152542374,67.6,37.06666666666666,
ScienceQA_MC,VisionZIP,FATA,32,94.49152542372882,24.9,19.470046082949303,
ScienceQA_MC,VisPruner,Base,32,63.02966101694916,49.0,24.82638888888889,
ScienceQA_MC,VisPruner,CAGE,32,42.58474576271187,60.2,23.63636363636364,
ScienceQA_MC,VisPruner,FATA,32,95.4449152542373,26.1,21.09464082098061,
ScienceQA_MC,PruMerge,Base,32,61.54661016949152,55.49999999999999,33.92857142857143,
ScienceQA_MC,PruMerge,CAGE,32,43.11440677966102,66.10000000000001,38.18181818181819,
ScienceQA_MC,PruMerge,FATA,32,95.55084745762711,44.3,40.73226544622426,
ScienceQA_MC,FlowCut,Base,32,61.75847457627118,52.3,28.214285714285715,
ScienceQA_MC,FlowCut,CAGE,32,43.0084745762712,64.7,36.52849740932643,
ScienceQA_MC,FlowCut,FATA,32,96.29237288135592,27.700000000000003,22.448979591836736,
VQAv2_Open,VisionZIP,Base,64,73.515743658332,48.609,23.38129496402877,
VQAv2_Open,VisionZIP,CAGE,64,31.731008999614623,79.874,43.24324324324324,
VQAv2_Open,VisionZIP,FATA,64,97.4667331625598,22.705,10.554089709762533,
VQAv2_Open,VisPruner,Base,64,75.47888377575772,44.23599999999999,19.78984238178634,
VQAv2_Open,VisPruner,CAGE,64,31.5428558474826,79.107,39.737991266375545,
VQAv2_Open,VisPruner,FATA,64,98.2272799401537,24.74100000000001,13.517060367454068,
VQAv2_Open,PruMerge,Base,64,74.19468183982045,52.26900000000001,31.294964028776977,
VQAv2_Open,PruMerge,CAGE,64,32.94153650851223,79.469,40.67796610169492,
VQAv2_Open,PruMerge,FATA,64,98.26581733275906,37.474,26.64041994750656,
VQAv2_Open,FlowCut,Base,64,76.6894112846553,52.274,30.313588850174217,
VQAv2_Open,FlowCut,CAGE,64,31.65393421440391,85.476,58.29596412556054,
VQAv2_Open,FlowCut,FATA,64,97.3896583773491,30.30799999999999,17.654808959156785,
VQAv2_MC,VisionZIP,Base,32,85.20408163265306,45.1,36.231884057971016,
VQAv2_MC,VisionZIP,CAGE,32,49.59183673469388,67.7,45.94594594594595,
VQAv2_MC,VisionZIP,FATA,32,98.36734693877553,25.1,23.09299895506792,
VQAv2_MC,VisPruner,Base,32,83.06122448979592,41.6,32.22222222222222,
VQAv2_MC,VisPruner,CAGE,32,48.77551020408163,67.6,45.95744680851064,
VQAv2_MC,VisPruner,FATA,32,98.16326530612244,21.0,18.873826903023986,
VQAv2_MC,PruMerge,Base,32,82.95918367346938,43.50000000000001,35.19206939281288,
VQAv2_MC,PruMerge,CAGE,32,48.77551020408163,68.0,45.66596194503171,
VQAv2_MC,PruMerge,FATA,32,98.36734693877553,32.9,31.09947643979057,
VQAv2_MC,FlowCut,Base,64,85.0,39.2,29.66101694915254,
VQAv2_MC,FlowCut,CAGE,64,51.3265306122449,69.0,51.0,
VQAv2_MC,FlowCut,FATA,64,98.36734693877553,20.2,18.10613943808533,
TextVQA_Open,VisionZIP,CAA_eps2,64,92.46363893297388,10.930232558139537,12.583518930957686,1000.0
ScienceQA_MC,VisionZIP,CAA_eps2,32,94.33760683760684,10.643564356435643,15.11627906976744,990.0
VQAv2_Open,VisionZIP,CAA_eps2,64,57.72674721737357,30.180180180180184,14.8479427549195,1000.0
VQAv2_MC,VisionZIP,CAA_eps2,32,97.95918367346938,8.748481166464156,17.83840503672613,1000.0
