dataset_version,dataset,compressor,sample_count,threshold,clean_acc_k576,clean_acc_k192,clean_acc_k128,clean_acc_k64,clean_acc_k32,clean_acc_k16,full_accuracy,selected_k,selected_accuracy,retention,source_file,source_sha256,source_result_schema
legacy_paper_dataset_version,TextVQA_Open,VisionZIP,1000,0.8,0.9199400000000001,0.8909199999999999,0.86725,0.81228,0.68991,0.53326,0.9199400000000001,64,0.81228,0.8829706285192511,ultimate_benchmark_VisionZIP_TextVQA_Open.csv,5762e7acddac7eac31e930b4578a54a079c4fa4b9ad5e6d6403a9a3018ac20e2,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,TextVQA_Open,VisPruner,1000,0.8,0.9199400000000001,0.90627,0.8819199999999999,0.82594,0.72693,0.54226,0.9199400000000001,64,0.82594,0.8978194230058482,ultimate_benchmark_VisPruner_TextVQA_Open.csv,c829d27c6a5fdb684d3fd4f4de99634177e191ce30d8f01f0ce9c78d313f9aa2,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,TextVQA_Open,PruMerge,1000,0.8,0.9199400000000001,0.84494,0.8179500000000001,0.77664,0.66296,0.45929000000000003,0.9199400000000001,64,0.77664,0.84422897145466,ultimate_benchmark_PruMerge_TextVQA_Open.csv,fed6410c06ca63a37bff85d7ed55ace737643fe59fa2886ad38d1585fd142525,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,TextVQA_Open,FlowCut,1000,0.8,0.9199400000000001,0.8809400000000001,0.84926,0.76795,0.62961,0.44192000000000004,0.9199400000000001,64,0.76795,0.8347827032197751,ultimate_benchmark_FlowCut_TextVQA_Open.csv,3c397838065debc6d950a4d2859a6780dc96292849b4596a688380f89f558914,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,VQAv2_Open,VisionZIP,1000,0.8,0.88226,0.86593,0.86093,0.8029,0.67596,0.52489,0.88226,64,0.8029,0.9100491918482079,ultimate_benchmark_VisionZIP_VQAv2_Open.csv,c615493b6b541be302fbc67d66eeff48d0fb0a0e662951d993722d59509d1861,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,VQAv2_Open,VisPruner,1000,0.8,0.88226,0.87395,0.8602799999999999,0.80326,0.70461,0.52396,0.88226,64,0.80326,0.9104572348287352,ultimate_benchmark_VisPruner_VQAv2_Open.csv,c4dd5b51dcb83174c97df933192962e02452cfd485f2564b23e496ef41e4bae2,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,VQAv2_Open,PruMerge,1000,0.8,0.88226,0.84058,0.80626,0.77824,0.66088,0.49261,0.88226,64,0.77824,0.8820982476820892,ultimate_benchmark_PruMerge_VQAv2_Open.csv,495613177a00f24c36014863c6d29f7c91d9782e49786b160c92846f4d91e5c4,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,VQAv2_Open,FlowCut,1000,0.8,0.88226,0.8616,0.83961,0.74052,0.58693,0.39693,0.88226,64,0.74052,0.8393444109446194,ultimate_benchmark_FlowCut_VQAv2_Open.csv,d7a1ab7ef897d86ea2f59958cd2a5806ad9526c637872b8b95e266528d71ae9b,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,ScienceQA_MC,VisionZIP,1000,0.8,0.944,0.911,0.887,0.852,0.815,0.696,0.944,32,0.815,0.8633474576271186,ultimate_benchmark_VisionZIP_ScienceQA_MC.csv,10e00fe4d6cd097a5352eb1ab21057c06dd75411c9667d7fad6708eaffec6406,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,ScienceQA_MC,VisPruner,1000,0.8,0.944,0.909,0.893,0.859,0.79,0.664,0.944,32,0.79,0.8368644067796611,ultimate_benchmark_VisPruner_ScienceQA_MC.csv,4e3ccb89c2deda5f81669f04698c8a5700c80a62df80b2e711806571ee95407d,legacy_uncontracted_score_only_v0
legacy_paper_dataset_version,ScienceQA_MC,PruMerge,1000,0.8,0.944,0.892,0.883,0.844,0.794,0.623,0.944,32,0.794,0.8411016949152543,ultimate_benchmark_PruMerge_ScienceQA_MC.csv,44c1f9f3f4603b42beecfdb9c035ed5ec9eed65263dbb1c85c4eccccc5bccc79,legacy_uncontracted_score_only_v0
