dataset,method,practical_retention,N_total,N_stealth,N_blind_practical,N_practical_correct_on_stealth,CBR_raw,CBR_percent,CBR_display_2dp,Clean_Full_Acc,FATA_Full_Acc,SR_percent,CC_practical,CW_practical,WC_practical,WW_practical,NetHarm_practical
TextVQA_Open,VisionZIP,0.111111,1000,882,499,383,0.56576,56.576,56.58,89.7,89.0,99.2196,348,145,44,463,101
TextVQA_Open,VisPruner,0.111111,1000,882,298,584,0.337868,33.7868,33.79,89.7,89.0,99.2196,509,150,92,249,58
TextVQA_Open,FlowCut,0.111111,1000,882,753,129,0.853741,85.3741,85.37,89.7,89.0,99.2196,111,119,21,749,98
TextVQA_Open,PruMerge,0.111111,1000,882,588,294,0.666667,66.6667,66.67,89.7,89.0,99.2196,220,166,79,535,87
VQAv2_Open,VisionZIP,0.111111,1000,727,325,402,0.447043,44.7043,44.7,75.4,74.4,98.6737,405,168,29,398,139
VQAv2_Open,VisPruner,0.111111,1000,727,252,475,0.34663,34.663,34.66,75.4,74.4,98.6737,459,164,58,319,106
VQAv2_Open,FlowCut,0.111111,1000,727,355,372,0.488308,48.8308,48.83,75.4,74.4,98.6737,369,210,34,387,176
VQAv2_Open,PruMerge,0.111111,1000,727,299,428,0.411279,41.1279,41.13,75.4,74.4,98.6737,420,197,35,348,162
ScienceQA_MC,VisionZIP,0.055556,1000,961,512,449,0.532778,53.2778,53.28,96.5,96.7,100.2073,434,241,18,307,223
ScienceQA_MC,VisPruner,0.055556,1000,961,392,569,0.407908,40.7908,40.79,96.5,96.7,100.2073,515,237,58,190,179
ScienceQA_MC,FlowCut,0.055556,1000,961,510,451,0.530697,53.0697,53.07,96.5,96.7,100.2073,436,312,18,234,294
ScienceQA_MC,PruMerge,0.055556,1000,961,444,517,0.462019,46.2019,46.2,96.5,96.7,100.2073,498,274,22,206,252
VQAv2_MC,VisionZIP,0.055556,1000,954,342,612,0.358491,35.8491,35.85,96.6,95.6,98.9648,607,180,8,205,172
VQAv2_MC,VisPruner,0.055556,1000,954,302,652,0.316562,31.6562,31.66,96.6,95.6,98.9648,629,216,31,124,185
VQAv2_MC,FlowCut,0.055556,1000,954,355,599,0.372117,37.2117,37.21,96.6,95.6,98.9648,593,252,14,141,238
VQAv2_MC,PruMerge,0.055556,1000,954,315,639,0.330189,33.0189,33.02,96.6,95.6,98.9648,613,219,30,138,189
