dataset,method,D_Full,D_1/3,D_Practical,Amp13,AmpPrac
TextVQA_Open,VisionZIP,0.7000000000000001,7.5,10.100000000000001,6.8,9.400000000000002
TextVQA_Open,VisPruner,0.7000000000000001,1.7000000000000002,5.800000000000001,1.0,5.1000000000000005
TextVQA_Open,FlowCut,0.7000000000000001,7.199999999999999,9.8,6.499999999999999,9.100000000000001
TextVQA_Open,PruMerge,0.7000000000000001,4.5,8.7,3.8,7.999999999999999
VQAv2_Open,VisionZIP,1.0,8.6,13.900000000000002,7.6,12.900000000000002
VQAv2_Open,VisPruner,1.0,10.8,10.6,9.8,9.6
VQAv2_Open,FlowCut,1.0,10.4,17.599999999999998,9.4,16.599999999999998
VQAv2_Open,PruMerge,1.0,10.2,16.2,9.2,15.2
ScienceQA_MC,VisionZIP,-0.2,8.3,22.3,8.5,22.5
ScienceQA_MC,VisPruner,-0.2,7.3,17.9,7.5,18.099999999999998
ScienceQA_MC,FlowCut,-0.2,10.6,29.4,10.799999999999999,29.599999999999998
ScienceQA_MC,PruMerge,-0.2,11.700000000000001,25.2,11.9,25.4
VQAv2_MC,VisionZIP,1.0,8.7,17.2,7.699999999999999,16.2
VQAv2_MC,VisPruner,1.0,7.6,18.5,6.6,17.5
VQAv2_MC,FlowCut,1.0,8.3,23.799999999999997,7.300000000000001,22.799999999999997
VQAv2_MC,PruMerge,1.0,7.6,18.9,6.6,17.9
